B4F775	Q9R0W0
Q8K4S7	Q62844
Q8R4T5	O35431
Q8R4T5	O88382
Q8R4T5	P31016
Q8R4T5	P31424
Q8R4T5	P63035
Q8R4T5	P97836
Q8R4T5	P97838
Q8R4T5	Q62915
Q8R4T5	Q8R515
Q8R4T5	Q91Y79
Q8VIB2	Q5I0H3
Q91Y81	Q63787
Q91Z80	P19491
Q91Z80	P97879
Q91Z80	Q9WTW1
Q91Z80	Q9WUL3
Q925B3	Q62812
Q925Q9	P39052
Q99376	P19024
Q99N34	Q63369
Q9EP80	P19491
Q9EP80	P19492
Q9EP80	P35400
Q9EP80	P97879
Q9EP80	Q62962
Q9EP80	Q9WTW1-2
Q9JHK1	Q9EPV5
Q9JHL4	Q9JLU4
Q9JHY1	O35889
Q9JHY1	Q9Z340
Q9JHZ4	P97879
Q9JHZ4	Q9WTW1
Q9JI51	Q63635
Q9JIR4	P68511
Q9JIR4	Q811U3
Q9JIS1	Q811U3
Q9JJ10	P20171
Q9JJ40	P31016
Q9JJ40	P35439
Q9JJ40	P97836
Q9JJ40	Q8K430
Q9JJ40	Q9QUH6
Q9JJ50	P60881
Q9JK66	Q62915
Q9JLT6	P35213
Q9JLU4	Q9QZM5
Q9QUH6	P31016
Q9QUH6	P35439
Q9QUH6	Q8K430
Q9QUH6	Q9JJ40
Q9QX70	P62994
Q9QX74	O88917
Q9QX74	P30680
Q9QXQ0	P19357
Q9QYW0	P19332
Q9QYW3	P19804
Q9QZM5	O88778
Q9QZM5	P09416
Q9QZM5	P52164
Q9QZM5	Q5BJU7
Q9QZM5	Q9JLU4
Q9QZM5	Q9QX74
Q9WTV5	P52947
Q9WTW1-2	Q9EP80
Q9WU82	O88382
Q9WUD9	P22002
Q9WUD9	Q63767
Q9WUL3	P19491
Q9WUL3	P97879
Q9WUL3	Q91Z80
Q9WUP8	P61589
Q9WV48	P07825
Q9WV48	P31016
Q9WV48	P35439
Q9WV48	P97836
Q9WV48	P97836-5
Q9WV48	Q63622
Q9WVB1	D3ZYN0
Q9WVE9	O70377
Q9WVE9	P60881
Q9WVI4	P31016
Q9WVI4	Q62696
Q9WVI4	Q62936
Q9WVI4	Q63622
Q9WVJ4	O55207-3
Q9Z0U4	O88871
Q9Z0W5	P21575
Q9Z1E1	P17046
Q9Z1E1	Q00959
Q9Z1E1	Q00960
Q9Z1E1	Q9Z2S9
Q9Z1I1	O88778
Q9Z1T4	P31016
Q9Z1T4	P70587
Q9Z214	P23385
Q9Z214	P31424
Q9Z252	P31016
Q9Z252	Q00960
Q9Z254	O88658
Q9Z254	P02563
Q9Z254	Q63604
Q9Z254	Q9Z1P2
Q9Z272	P51111
Q9Z2F5	P29476
Q9Z2F5	P70496
Q9Z2F5	P70498
