P0ACB0	P0ADZ0
P0ACB0	P0AEF0
P0ACB0	P0AFG8
P0ACB0	P10121
P0ACB0	P16525
P0ACB0	P39264
P0ACB0	P60723
P0ACE0	P61175
P0ACF0	P00490
P0ACF4	P00490
P0ACF4	P02359
P0ACF4	P0AFY8
P0ACY3	P15723
P0ADK8	P02359
P0ADQ2	P69910
P0ADW6	P46482
P0ADZ0	P0A7J7
P0ADZ0	P0A7R1
P0ADZ0	P60723
P0AE18	P0A7R1
P0AE18	P0A9P6
P0AE18	P0ACT6
P0AE18	P0ADZ0
P0AE18	P60723
P0AED5	P0A7K2
P0AED5	P0A9P0
P0AED5	P0AEL8
P0AED9	P02359
P0AEE8	P0A8L1
P0AEG4	P0AEM6
P0AEG4	P21179
P0AEG4	P25516
P0AEM9	P75767
P0AEN8	P0A9P0
P0AES4	P00961
P0AES4	P06959
P0AES4	P08622
P0AES4	P0A7G6
P0AES4	P0A817
P0AES4	P0A9P0
P0AES4	P0AGD7
P0AES4	P22333
P0AES4	P39308
P0AES4	P68187
P0AEU7	P0A7R1
P0AEV9	P0A9P0
P0AEY3	P0AEH5
P0AF03	P0AES4
P0AF26	P0A9P0
P0AF67	P69910
P0AF90	P0A9P0
P0AFF6	P0AG82
P0AFF6	P60723
P0AFG0	P0A9P6
P0AFG0	P0ADZ0
P0AFG0	P23830
P0AFG0	P60723
P0AFG3	P0A9P0
P0AFG6	P0A9P0
P0AFH0	P06959
P0AFH0	P0A9P0
P0AFH0	P0AFG8
P0AFI2	P11880
P0AFP2	P0A7J3
P0AFP2	P0A7K2
P0AFP2	P0A7L0
P0AFP2	P0A7R5
P0AFP2	P0ACH5
P0AFP2	P77804
P0AFQ7	P15877
P0AFZ3	P60723
P0AG07	P05704
P0AG24	P0A7R1
P0AG24	P0A7R9
P0AG24	P0A9P6
P0AG24	P60723
P0AG30	P0AFG0
P0AG30	P60723
P0AG40	P0AFG8
P0AG40	P24177
P0AGD7	P0A7R9
P0AGD7	P60723
P0AGG4	P0AEY8
P0AGJ5	P0A7R1
P0AGJ5	P0A7R9
P0AGJ5	P0A9P6
P0AGJ5	P23830
P0AGJ9	P45955
P0AGK4	P0A7J7
P0AGK4	P60723
P0C054	P05055
P0C054	P21517
P0C054	P37024
P0C054	P37188
P0C054	P62707
P0C054	P68187
P0C058	P68187
P0CG19	P08622
P0CG19	P09152
P0CG19	P0A7G6
P10408	P09348
P10408	P0A7J7
P10408	P0A7K2
P10408	P0A817
P10408	P12996
P10408	P31119
P10408	P37191
P10408	P60723
P10408	P61175
P10408	P75791
P10408	P75838
P10441	P0A7K6
P10441	P0AA10
P10441	P33226
P10443	P03007
P10443	P06710
P10443	P0A7K2
P10443	P0A7L0
P10443	P0A7T3
P10443	P0A9P0
P10443	P0AA10
P10443	P0AFG8
P10443	P0AG48
P10443	P0AG67
P10443	P16919
P10443	P22106
P10443	P28630
P10443	P28631
P10443	P28632
P10443	P28905
P10443	P33593
P10443	P37024
P10443	P60438
P10443	P60723
P10443	P77806
P11349	P09152
P11868	P37747
P11880	P09832
P11880	P0ABG7
P11880	P22523
P11880	P22564
P11880	P76339
P11989	P0AC13
P11989	P77700
P12281	P0A796
P12282	P30748
P12295	P08957
P13445	P0A7L0
P13445	P69797
P14081	P02358
P14081	P02359
P14081	P02413
P14081	P06959
P14081	P08622
P14081	P0A7K2
P14081	P0A7K6
P14081	P0A7L0
P14081	P0A7L3
P14081	P0A7M2
P14081	P0A7R1
P14081	P0A9M8
P14081	P0AA10
P14081	P0AFG8
P14081	P0AG48
P14081	P0AG67
P14081	P21507
P14081	P60422
P14081	P60438
P14081	P60624
P14081	P60723
P14081	P61175
P14081	P68919
P14294	P04993
P14294	P06612
P14294	P06959
P14294	P0A7J3
P14294	P0A7K2
P14294	P0A7K6
P14294	P0A7M2
P14294	P0A7M6
P14294	P0A7N9
P14294	P0A7T3
P14294	P0A9P0
P14294	P0AA10
P14294	P0ABL8
P14294	P0AEP7
P14294	P0AF52
P14294	P0AFG8
P14294	P0AG48
P14294	P0AG59
P14294	P15043
P14294	P60438
P14294	P60624
P14294	P60723
P14294	P61175
P14900	P45751
P15005	P31806
P15032	P0AFG8
P15034	P60560
P15038	P02359
P15038	P08839
P15038	P09373
P15038	P0A7K2
P15038	P0ABB4
P15038	P0ABD8
P15038	P0AG48
P15038	P0AG67
P15038	P33195
P15038	P60438
P15038	P60716
P15038	P60723
P15038	P69910
P15038	P69913
P15043	P06612
P15043	P06959
P15043	P0A7M2
P15043	P0A9P0
P15043	P0AFG8
P15043	P0AG59
P15082	P02413
P15082	P09373
P15082	P0A7L0
P15082	P0A7L3
P15082	P0A7M6
P15082	P0A7N9
P15082	P0AA10
P15082	P0ADZ0
P15082	P0AEJ2
P15082	P0AG48
P15082	P0AG67
P15082	P0C018
P15082	P60422
P15082	P60438
P15082	P60723
P15082	P61175
P15082	P62399
P15082	P76064
P15288	P15034
P15288	P60560
P15770	P31064
P16528	P02358
P16528	P02359
P16528	P06959
P16528	P0A7L0
P16528	P0A7L3
P16528	P0A7S9
P16528	P0A7W7
P16528	P0AA10
P16528	P0AG48
P16528	P60624
P16528	P60723
P16528	P61175
P16659	P0AFG8
P17169	P00957
P17169	P08622
P17169	P0AFZ7
P17169	P33366
P17169	P61175
P17169	P76093
P17169	P76552
P17315	P06716
P17443	P0A7J7
P17443	P0A7K2
P17443	P0A7K6
P17443	P0A7N9
P17443	P0AA10
P17443	P22188
P17443	P23482
P17443	P30130
P17443	P60624
P17443	P76586
P17952	P08373
P17952	P0A7K2
P17952	P0AFG0
P17952	P37669
P17952	P39263
P17952	P39328
P17952	P60716
P17993	P61175
P18133	P0A7K6
P18133	P33024
P18133	P61175
P18843	P52043
P19317	P09152
P19317	P11349
P19317	P19318
P19318	P04825
P19318	P09152
P19318	P11349
P19319	P11349
P20083	P0A9S1
P20083	P0ACY9
P20083	P10408
P20083	P31448
P20083	P52106
P20083	P60723
P20083	P77031
P21507	P08622
P21507	P0A7K2
P21507	P0A7L0
P21507	P0ADZ0
P21507	P60422
P21507	P60624
P21507	P60723
P21507	P61175
P21507	P75864
P21513	P02358
P21513	P02359
P21513	P05055
P21513	P0A7J7
